Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SL,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
1,0,20913,0,0,0,0,0,0,30229,647113,141826,79370,50168,0,0,0,0,24585,0,200817,71265,0,0,0,503514,694049,153885,39930,0,113895,611925,309171,532214,454325,63650,63283,0,148129,0,46456,0
2,0,20983,0,0,0,0,0,0,44693,717321,210934,111903,58873,0,0,0,0,41415,0,190703,70887,0,0,0,462804,629873,178798,46926,0,111580,533002,260537,488541,365484,156162,76640,0,119157,0,66263,0
3,0,21857,0,0,0,0,0,0,59146,546547,472726,157813,69660,0,0,0,0,52014,0,197772,89118,0,0,0,525828,760850,243446,48520,0,170389,951214,307121,541346,650424,426582,63508,0,212054,0,116019,0
4,0,54806,0,0,0,0,0,0,120871,692705,609865,157628,83053,0,0,0,0,97635,0,167866,166057,0,0,0,404065,609211,244769,49363,0,164466,1143119,209456,424569,793815,571651,83351,0,258805,0,154217,0
5,0,45294,0,0,0,0,0,0,118378,655047,380838,113171,66654,0,0,0,0,53019,0,139998,132207,0,0,0,506731,744285,260139,49811,0,129085,832877,315876,553608,601485,396017,75261,0,196099,0,119124,0
6,0,77007,0,0,0,0,0,0,85884,501070,363354,121081,66118,0,0,0,0,66905,0,99824,105836,0,0,0,419836,560506,222271,47741,0,140574,886928,185678,464161,714094,446842,66309,0,232808,0,119175,0
7,0,35750,0,0,0,0,0,0,49871,398710,157088,95994,57335,0,0,0,0,67766,0,70984,80279,0,0,0,434248,679960,209511,47162,0,144454,908233,234744,505367,699777,333452,59243,0,228148,0,104880,0
8,0,19148,0,0,0,0,0,0,33715,371553,115803,102553,47629,0,0,0,0,59859,0,56441,92052,0,0,0,508997,788845,236365,49451,0,129070,834872,248848,588982,586724,347281,49933,0,191290,0,95857,0
9,0,17650,0,0,0,0,0,0,41763,345285,180892,122519,58383,0,0,0,0,74819,0,45679,139246,0,0,0,311281,547359,213634,45130,0,152091,962639,152365,461963,732745,472042,71073,0,238897,0,133773,0
10,0,18078,0,0,0,0,0,0,24044,267327,186229,125520,49839,0,0,0,0,62523,0,42241,158344,0,0,0,617536,882241,257617,38087,0,158195,1075665,353759,579019,794745,435636,66069,0,259109,0,135805,0
11,0,16257,0,0,0,0,0,0,41096,303540,203000,136544,46672,0,0,0,0,37961,0,48771,136344,0,0,0,457588,728479,205361,44530,0,122932,786646,259495,539673,504266,176210,58892,0,164400,0,141942,0
