Time,Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SL,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
1,1,0,0,0,0,0,0,0,0,0,87.81576635,0,0,0,0,0,0,0,0,0,0,0,0,0.874380647,0,0,0.256191372,0.508293613,0.751824871,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,87.81576635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256191372,0.547393122,0.789416115,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,87.81576635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256191372,0.547393122,0.751824871,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,87.81576635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256191372,0.469194105,0.751824871,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,74.6434014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256191372,0.508293613,0.751824871,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,70.25261308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307429646,0.664691648,0.714233628,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,70.25261308,0,0,0,0,0,0,0,0,18.68542102,0,247.2438753,0,0,0,0,0.307429646,0.781990174,0.789416115,0,0,0,0,0,0,0,2.45,98,74.15730337,153.5342697,10.10666667,24.44444444
8,1,0,63.3086865,13.22655586,0,0,2849.520783,5.627376426,0,7.256556714,109.7697079,893.0426388,46.97269373,327.341969,0,0,67.54179404,0,11.95840259,819.8228474,0,1374.860802,0,0.437190324,0,0,0.307429646,0.938388209,0.827007358,0,0,0,0,0,0,0,12.6,259,249.4382022,972.3837079,131.3866667,82.22222222
9,1,117.4016163,256.4001803,238.0780054,0,0,18668.4541,16.88212928,0,1361.612239,2384.198056,2857.077372,140.9180812,6648.428268,0,0,937.370574,475.1813502,137.5216298,2606.616233,262.818535,3003.89755,111.3360324,29.728942,0,0,0.35866792,1.251184279,0.789416115,67.38165072,0,0,0,0,0,8.974527557,19.25,385,364.0449438,1688.876966,197.08,124.4444444
10,1,444.5607871,432.0817854,1274.158214,56.8136705,23.06235044,35381.45621,25.32319392,487.0121951,5345.058733,9343.59754,6465.49689,250.3793358,18556.90335,0,47.17264151,2249.871923,4118.137983,364.731279,4612.963315,1350.343507,3967.455457,311.7408907,95.30749053,44.35110567,0,0.563621018,5.317533184,1.390876012,622.2893625,39.45983396,133.7114868,30.83206668,18.60188525,15.48996536,200.4311154,23.1,469,431.4606742,1228.274157,272.88,146.6666667
