Time,Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SL,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
1,1,5210.80292,0,0,630.3891078,3609.229264,14338.36256,0,14549.761,73.56205853,1969.323915,211.1503532,0,5643.794147,122.6034309,1113.218971,0,5900.70894,0,8839.556004,640,382.4419778,0,0,499.4954591,77.53279516,154.4248234,96.11503532,54.46518668,28324.76791,142.8910192,529.2734612,784.9394551,429.3138244,36.52371342,0,0,0,0,0,0,0
2,1,5192.408759,0,0,1182.281737,3619.090281,15362.95972,0,14645.08403,106.2563068,2090.817356,148.5872856,0,5652.371342,183.6528759,1151.36226,0,5920.476809,0,9112.008073,720,375.3784057,0,0,606.4581231,75.94550959,151.2633703,94.14732593,53.35015136,27689.44601,139.9656912,518.4379415,768.8698285,420.5247225,35.77598385,0,0,0,0,0,0,0
3,1,5053.138686,0,0,1068.367604,3091.319657,13847.55553,0,14440.5728,158.0221998,2201.009082,113.39556,0,5575.176589,252.7749748,1229.061554,0,5867.350661,0,9313.82442,960,370.332997,0,0,679.1120081,74.84661958,149.074672,92.78506559,52.57820383,29595.41171,137.9404642,510.9364279,757.7447023,414.4399596,35.25832492,0,0,0,0,0,0,0
4,1,5234.452555,0,0,1035.454086,2778.518307,13843.5571,0,13679.72169,171.6448032,2311.200807,82.11402624,0,5343.592331,327.9515641,1262.9667,0,6172.517141,0,9424.823411,1360,353.1786075,0,0,714.4298688,73.3814329,146.1564077,90.96871847,51.54894046,32242.58628,135.2401615,500.9344097,742.9112008,406.3269425,34.56811302,0,0,0,0,0,0,0
5,1,5152.992701,0,0,738.306945,2375.127689,13354.74929,0,12459.58688,168.9202825,2398.789102,58.65287588,0,5026.236125,389.0010091,1251.664985,0,6176.223616,0,9132.189707,1360,322.9061554,0,0,680.1210898,70.08476287,139.5903128,86.88193744,49.23309788,34995.64783,129.1644803,478.4298688,709.5358224,388.0726539,33.01513623,0,0,0,0,0,0,0
6,1,5216.058394,0,0,162.8303505,3114.338184,13068.86169,0,11263.71611,171.6448032,2463.773966,54.74268416,0,4871.84662,414.7325933,1237.537841,0,6623.471656,0,8970.73663,720,296.6700303,0,0,632.6942482,67.15438951,133.7537841,83.24924319,47.17457114,38489.91826,123.7638749,458.4258325,679.8688194,371.8466196,31.63471241,0,0,0,0,0,0,0
7,1,5216.058394,0,0,246.2670591,3153.195332,13913.52959,0,9478.575689,196.1654894,2517.457114,66.47325933,0,4683.148335,430.8779011,1231.886983,0,8820.176115,0,8970.73663,1200,293.6427851,0,0,587.2855701,61.29364279,122.0807265,75.98385469,43.05751766,40660.60141,112.962664,418.4177598,620.5348133,339.394551,28.87386478,0,0,0,0,0,0,0
8,1,5494.59854,0,0,497.2022782,3152.095876,12465.09907,0,8036.598184,231.5842583,2551.36226,78.20383451,0,4297.174571,464.1775984,1231.886983,0,10059.37441,0,8839.556004,1360,310.7971746,0,0,557.0131181,54.82240161,109.1917255,67.96165489,38.51160444,42090.07568,101.0363269,374.2421796,555.0201816,303.5620585,25.82542886,0,0,0,0,0,0,0
9,1,5326.423358,0,0,861.1597729,3718.751293,13865.54846,0,7386.66842,288.7991927,2630.474268,78.20383451,0,3851.160444,469.7275479,1224.823411,0,10810.55344,0,8718.466196,1360,322.9061554,0,0,566.0948537,50.54894046,100.6801211,62.66397578,35.50958628,43201.889,93.160444,345.0696266,511.7558022,279.8990918,23.8123108,0,0,0,0,0,0,0
10,1,5063.649635,0,0,2015.609979,3710.922668,13579.66086,0,8736.789184,367.8102926,2709.586276,50.83249243,0,3885.469223,461.1503532,1224.823411,0,9631.894242,0,8193.743693,1360,344.0968718,0,0,580.221998,42.24621594,84.14328961,52.37134208,29.67709384,43466.60646,77.85872856,288.3915237,427.6992936,233.925328,19.90110999,0,0,0,0,0,0,0
11,1,3728.759124,0,0,2723.496459,3666.970557,14392.34134,0,12002.03632,457.7194753,2760.443996,35.19172553,0,4425.832492,446.518668,1221.997982,0,9769.033834,0,7003.027245,1040,380.4238143,0,0,502.5227043,29.42583249,58.60847629,36.47830474,20.67103935,42407.73663,54.23107972,200.8738648,297.9061554,162.9364279,13.8617558,0,0,0,0,0,0,0
12,1,4080.875912,0,0,2205.67989,3704.671452,14507.29614,0,14574.02504,566.7003027,2777.396569,23.46115035,0,5197.78002,422.8052472,1210.696266,0,9828.337441,0,5832.492432,80,422.8052472,0,0,477.2956609,20.39051463,40.61251261,25.27749748,14.32391524,40025.27952,37.57921292,139.1947528,206.4328961,112.9061554,9.605449041,0,0,0,0,0,0,0
13,1,4417.226277,0,0,2596.975205,3705.266095,16248.6115,0,15733.49974,746.518668,2768.920283,11.73057518,0,5772.452069,394.0464178,1162.663976,0,8931.370379,0,5257.315843,80,447.0232089,0,0,464.1775984,14.6518668,29.18264379,18.16347124,10.2926337,37431.04844,27.00302725,100.0201816,148.3350151,81.13017154,6.902119072,0,0,0,0,0,0,0
14,1,4306.861314,0,0,1163.49341,3706.118612,26237.68408,0,16421.55872,997.1745711,2763.269425,7.820383451,0,5892.532795,371.3420787,1099.091826,0,9153.758907,0,4954.591322,160,518.6680121,0,0,458.123108,7.814328961,15.56407669,9.687184662,5.489404642,36001.57417,14.40161453,53.34409687,79.11200807,43.26942482,3.681130172,0,0,0,0,0,0,0
15,1,3487.007299,0,0,3789.33829,3684.105611,26793.46556,0,16839.24692,1160.645812,2763.269425,11.73057518,0,5789.606458,346.6195762,1021.392533,0,8476.709388,0,4328.960646,480,629.667003,0,0,419.778002,1.09889001,2.188698285,1.362260343,0.771947528,35260.36529,2.025227043,7.501513623,11.12512614,6.084762866,0.51765893,0,0,0,0,0,0,0
16,1,2619.854015,0,0,3989.205875,3542.027734,26624.53198,0,16837.51377,1253.279516,2774.57114,23.46115035,0,5712.411705,312.815338,875.8829465,0,6751.962805,0,3360.24218,240,713.4207871,0,0,362.2603431,0.24419778,0.486377397,0.302724521,0.171543895,38542.86176,0.450050454,1.667003027,2.472250252,1.352169526,0.115035318,0,0,0,0,0,0,0
17,1,2864.233577,0,0,3915.855355,3578.958956,26209.69508,0,16575.80872,1266.902119,2785.872856,31.2815338,0,5789.606458,269.9293643,689.4046418,0,5953.835089,0,2452.068618,160,749.7477296,0,0,274.4702321,1.83148335,3.647830474,2.270433905,1.286579213,38754.63572,3.375378406,12.5025227,18.54187689,10.14127144,0.862764884,0,0,0,0,0,0,0
18,1,3237.372263,0,0,3654.109222,3617.57106,24710.28461,0,15515.12334,1288.698285,2780.221998,35.19172553,0,5789.606458,218.4661958,509.9899092,0,6183.636567,0,1594.349142,240,724.5206862,0,0,150.3531786,11.35519677,22.61654894,14.07669021,7.97679112,38754.63572,20.92734612,77.51564077,114.9596367,62.87588295,5.349142281,0,0,0,0,0,0,0
19,1,1282.335766,0,0,3343.007025,3345.807819,24015.55776,0,13386.82001,1335.015136,2760.443996,39.10191726,0,5712.411705,151.3622603,351.765893,0,4856.718351,0,958.6276488,480,685.1664985,0,0,51.46316852,27.83854692,55.44702321,34.51059536,19.55600404,38013.42684,51.30575177,190.0383451,281.8365288,154.1473259,13.11402624,0,0,0,0,0,0,0
20,1,1442.627737,0,0,3524.450591,3502.220791,22362.20781,0,11761.12902,1356.811302,2732.189707,35.19172553,0,5523.713421,84.25832492,214.7325933,0,5145.823437,0,1019.172553,320,628.6579213,0,0,22.19979818,45.1765893,89.97981837,56.00403633,31.73562059,36478.06559,83.25933401,308.39556,457.3662967,250.1513623,21.2815338,0,0,0,0,0,0,0
21,1,1776.350365,0,0,3368.416155,3575.787534,24378.41509,0,11178.79195,1356.811302,2712.411705,31.2815338,0,5335.015136,38.34510595,138.4460141,0,5032.15819,0,1866.801211,560,579.2129162,0,0,44.39959637,62.63673058,124.7558022,77.64883956,44.00100908,35630.96973,115.4379415,427.5862765,634.1321897,346.8314834,29.50655903,0,0,0,0,0,0,0
22,1,2280.875912,0,0,3022.553966,3565.630621,20559.91642,0,9856.401526,1310.49445,2681.331988,27.37134208,0,5189.202825,10.09081736,144.0968718,0,4504.603182,0,3269.424823,480,568.1130172,0,0,120.0807265,75.45711403,150.2906155,93.54187689,53.00706357,35842.74369,139.0655903,515.1039354,763.925328,417.8203835,35.54591322,0,0,0,0,0,0,0
23,1,2651.386861,0,0,3283.554681,3387.55297,18909.56529,0,6631.016746,1198.789102,2624.823411,27.37134208,0,5172.048436,9.081735621,261.3521695,0,5139.645978,0,4974.772957,240,557.0131181,0,0,255.2976791,84.85872856,169.0161453,105.1967709,59.61150353,33989.72149,156.3925328,579.283552,859.1069627,469.8789102,39.97477296,0,0,0,0,0,0,0
