Time,Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SL,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
1,1,4576.495518,187.9487705,285,2210.623792,399.4987165,73717.74742,150.255102,4887.416913,1534.797891,15699.44363,24750.85083,1451.256148,8601.465662,33.29752066,774.8125454,94.82288361,8699.262272,2050.600343,4434.206161,707.3045463,2428.323118,43.90243902,352.0887992,8581.277029,118.3257838,1099.675194,2652.557207,2063.254427,21049.51191,109.851752,1411.971873,2132.552474,766.7556701,0,199.0787717,128.0672269,11.38888889,45.20686176,2267.701912,289.121608,15.8436214
2,1,4574.356968,245.4180328,287.6666667,1995.748425,363.9902922,74004.46153,218.1122449,4597.755841,1740.685413,15413.54499,24107.47207,1409.182475,8649.924623,45.04958678,884.060308,64.28475856,8470.435742,2529.15952,3911.59992,856.2217284,2643.490989,32.92682927,448.0474268,10442.82439,106.2074414,210.6962214,2692.523111,2002.914038,21248.26536,105.2264151,1411.971873,2108.231648,817.2525773,0,176.3150868,138.7394958,0,35.03531786,2195.682796,266.2130653,18.10699588
3,1,4495.230644,186.329918,285,1842.084019,378.0026069,73963.58188,208.4183673,3764.612043,1784.358524,14516.98907,22406.36464,1487.047326,8901.030151,50.92561983,1014.270741,66.6051977,7767.553778,4011.149228,3721.818792,1010.137529,2938.797914,25.6097561,466.8062563,11576.69637,92.65356979,183.8078086,2721.124737,1855.682782,21484.19684,112.1644205,1356.761658,2135.112561,873.0649485,0,163.070761,179.2941176,0,28.81937437,2288.407407,334.9386935,19.34156379
4,1,4516.616137,158.4856557,286.6666667,1771.270234,406.5350623,72819.95736,227.8061224,2987.436657,1717.809022,14525.31622,14040.69245,1552.34719,9079.447236,45.04958678,1133.59671,103.3311605,7380.70877,5938.250429,3538.489593,1057.832683,2905.315159,62.19512195,504.3239152,11862.92284,89.6573265,177.8638076,2793.667134,1769.05299,22192.30503,122.5714286,1267.485566,2114.631865,918.2463918,0,204.459279,198.5042017,0,25.42885974,2362.227001,82.94472362,19.75308642
5,1,4441.766911,145.6967213,294.6666667,1598.950846,438.3299467,73050.34121,295.6632653,2639.84337,1755.243117,14353.22189,13423.53837,1614.981753,8850.368509,56.80165289,1382.326856,139.5128227,7399.531164,6023.156089,3235.721026,1110.943006,2847.680908,36.58536585,568.5368315,11085.78198,95.80519816,190.0600654,2829.106905,1697.629963,22615.69537,116.7897574,1366.159141,2099.271343,910.2731959,0,190.8010681,192.1008403,0,23.45105954,2373.930108,93.21407035,17.69547325
6,1,4452.459658,155.7336066,322.6666667,1589.434458,439.6753705,72837.78779,353.8265306,2295.195788,1740.685413,14503.1105,13147.3051,1495.804742,8947.286432,78.34710744,1446.021124,134.2989965,7315.905957,3949.399657,2997.471749,1155.305747,2815.295947,47.56097561,578.6377397,10650.87859,109.1619368,216.5574023,2825.327457,1630.882383,22707.77767,119.1024259,1345.014804,2129.992387,892.9979381,0,197.8371162,209.1764706,0,20.90817356,2371.229391,48.18693467,15.02057613
7,1,4433.212714,158.9713115,315.6666667,1726.024064,422.1763742,72678.30329,387.755102,2091.942086,1911.218512,14936.12202,12486.44322,1539.401444,8760.058626,78.34710744,1589.131662,78.29333562,7630.777716,2614.06518,2521.13056,918.0796349,2471.686031,51.2195122,531.740666,10366.70929,106.4037259,211.0856143,2839.255967,1607.455491,23115.95168,122.5714286,1258.088083,2156.873301,885.0247423,0,209.8397864,224.1176471,0,18.36528759,2357.725806,0,13.58024691
8,1,4279.237164,164.9610656,326.6666667,1840.601269,382.5928114,74340.87212,373.2142857,1875.432708,1907.059168,15582.8636,12136.78085,1325.987022,8716.005025,84.2231405,1699.991937,92.27326529,7594.029233,3596.912521,2121.425696,689.8093808,1873.936511,32.92682927,541.1200807,11393.70219,66.87722781,132.6722405,2887.019224,1522.318387,23152.1885,130.6657682,1269.834937,2131.272431,923.5618557,0,205.2870494,247.5966387,0,16.67003027,2345.122461,0,12.55144033
9,1,4155.201304,237.4856557,371.6666667,1882.694106,342.2644434,76577.2386,382.9081633,1760.550181,1828.031634,16235.15661,18114.25905,1007.673985,8193.969849,90.09917355,1803.192776,130.2597135,7582.287645,3625.214408,2222.610825,664.6080115,1334.919038,25.6097561,549.778002,11166.01142,56.11433816,111.3206275,2905.955487,1540.583874,22584.00776,142.2291105,1276.88305,2101.83143,892.9979381,0,194.9399199,239.0588235,0,11.30171544,2323.516726,479.4994975,10.08230453
10,1,3887.882641,262.2540984,405.3333333,1945.299745,338.8576547,76830.97796,373.2142857,2512.196117,1865.465729,16093.59515,18400.9822,348.963993,7647.705193,92.05785124,1830.20237,87.91886097,7765.492278,3967.409949,2306.957993,585.0466639,900.7410118,32.92682927,440.110999,11058.29078,45.65929358,90.57972312,2923.930648,1577.063714,21292.50251,141.0727763,1493.025167,2086.470908,892.9979381,0,180.8678238,245.4621849,0,4.520686176,2379.331541,497.6683417,9.259259259
